index,eigenvalue
0,-2.896843445744027
1,-2.896843445744025
2,-2.896843445744024
3,-2.828427124746194
4,-2.8284271247461925
5,-2.8284271247461903
6,-2.8284271247461903
7,-2.8284271247461903
8,-2.742460648046815
9,-2.742460648046813
10,-2.7424606480468117
11,-2.5946195882188396
12,-2.5946195882188388
13,-2.594619588218837
14,-2.594619588218835
15,-2.5946195882188348
16,-2.4494897427831797
17,-2.4494897427831797
18,-2.4494897427831788
19,-2.4494897427831757
20,-2.370239226059238
21,-2.3702392260592378
22,-2.3702392260592364
23,-2.3582944711822638
24,-2.3582944711822638
25,-2.3582944711822633
26,-2.3582944711822624
27,-2.2360679774997907
28,-2.2360679774997894
29,-2.2360679774997894
30,-2.236067977499789
31,-2.200992055494447
32,-2.2009920554944453
33,-2.200992055494444
34,-2.148961141749637
35,-2.1489611417496355
36,-2.148961141749634
37,-2.1489611417496337
38,-2.1489611417496333
39,-2.1067233419229274
40,-2.1067233419229248
41,-2.1067233419229243
42,-2.074313293051944
43,-2.0743132930519437
44,-2.0743132930519432
45,-2.074313293051943
46,-2.074313293051941
47,-1.8390122379283147
48,-1.8390122379283145
49,-1.839012237928313
50,-1.807746993478657
51,-1.807746993478657
52,-1.8077469934786567
53,-1.8077469934786567
54,-1.8077469934786552
55,-1.7715993523114015
56,-1.7715993523113998
57,-1.7715993523113998
58,-1.543361918426823
59,-1.5433619184268181
60,-1.5433619184268172
61,-1.5433619184268172
62,-1.5433619184268166
63,-1.4142135623730963
64,-1.414213562373096
65,-1.4142135623730954
66,-1.4142135623730947
67,-1.4142135623730947
68,-1.4142135623730943
69,-1.4142135623730934
70,-1.4142135623730934
71,-1.414213562373093
72,-1.199352820145586
73,-1.1993528201455856
74,-1.1993528201455852
75,-1.1993528201455845
76,-1.1148280658535954
77,-1.1148280658535954
78,-1.1148280658535945
79,-1.0861633161486353
80,-1.0861633161486342
81,-1.0861633161486333
82,-0.8349996181244688
83,-0.8349996181244671
84,-0.8349996181244663
85,-0.8349996181244662
86,-0.8349996181244655
87,-0.4933576249942151
88,-0.4933576249942147
89,-0.49335762499421404
90,-8.830680348833447e-16
91,-5.610491816598351e-16
92,0.4933576249942144
93,0.49335762499421465
94,0.4933576249942147
95,0.8349996181244644
96,0.8349996181244671
97,0.8349996181244673
98,0.8349996181244679
99,0.8349996181244681
100,1.0861633161486344
101,1.0861633161486346
102,1.0861633161486348
103,1.1148280658535954
104,1.1148280658535958
105,1.1148280658535965
106,1.1993528201455854
107,1.1993528201455854
108,1.199352820145586
109,1.1993528201455874
110,1.4142135623730938
111,1.4142135623730943
112,1.4142135623730945
113,1.4142135623730947
114,1.4142135623730951
115,1.4142135623730954
116,1.4142135623730954
117,1.4142135623730956
118,1.4142135623730965
119,1.5433619184268157
120,1.5433619184268161
121,1.5433619184268164
122,1.5433619184268166
123,1.543361918426818
124,1.771599352311399
125,1.7715993523114006
126,1.7715993523114006
127,1.807746993478656
128,1.807746993478656
129,1.8077469934786567
130,1.8077469934786574
131,1.8077469934786579
132,1.8390122379283131
133,1.8390122379283131
134,1.8390122379283145
135,2.0743132930519415
136,2.074313293051942
137,2.0743132930519423
138,2.0743132930519423
139,2.074313293051943
140,2.1067233419229248
141,2.1067233419229265
142,2.1067233419229274
143,2.148961141749634
144,2.148961141749635
145,2.148961141749635
146,2.148961141749636
147,2.148961141749637
148,2.2009920554944453
149,2.200992055494447
150,2.200992055494448
151,2.2360679774997885
152,2.236067977499789
153,2.2360679774997894
154,2.23606797749979
155,2.3582944711822624
156,2.358294471182263
157,2.3582944711822633
158,2.3582944711822638
159,2.3702392260592378
160,2.370239226059238
161,2.3702392260592386
162,2.449489742783178
163,2.4494897427831783
164,2.4494897427831797
165,2.449489742783183
166,2.5946195882188343
167,2.5946195882188343
168,2.594619588218836
169,2.594619588218836
170,2.594619588218837
171,2.742460648046808
172,2.7424606480468086
173,2.742460648046811
174,2.828427124746187
175,2.8284271247461885
176,2.8284271247461894
177,2.828427124746191
178,2.8284271247461925
179,2.8968434457440266
180,2.896843445744027
181,2.896843445744029
